sw_longitude,sw_latitude,ne_longitude,ne_latitude,box_rating
-122.38894099999999,37.73214,-122.38294099999999,37.73614,0.0
-122.38294099999999,37.73214,-122.37694099999999,37.73614,0.0
-122.37694099999999,37.73214,-122.37094099999999,37.73614,0.0
-122.37094099999999,37.73214,-122.36494099999999,37.73614,0.0
-122.36494099999999,37.73214,-122.35894099999999,37.73614,0.0
-122.35894099999999,37.73214,-122.35294099999999,37.73614,0.0
-122.514941,37.73614,-122.508941,37.74014,0.0
-122.508941,37.73614,-122.50294099999999,37.74014,0.0
-122.50294099999999,37.73614,-122.49694099999999,37.74014,0.0
-122.49694099999999,37.73614,-122.49094099999999,37.74014,0.0
-122.49094099999999,37.73614,-122.48494099999999,37.74014,0.0
-122.48494099999999,37.73614,-122.47894099999999,37.74014,3.5
-122.47894099999999,37.73614,-122.47294099999999,37.74014,0.0
-122.47294099999999,37.73614,-122.46694099999999,37.74014,3.65
-122.46694099999999,37.73614,-122.46094099999999,37.74014,0.0
-122.46094099999999,37.73614,-122.45494099999999,37.74014,0.0
-122.45494099999999,37.73614,-122.44894099999999,37.74014,0.0
-122.44894099999999,37.73614,-122.44294099999999,37.74014,0.0
-122.44294099999999,37.73614,-122.43694099999999,37.74014,0.0
-122.43694099999999,37.73614,-122.43094099999999,37.74014,0.0
-122.43094099999999,37.73614,-122.42494099999999,37.74014,0.0
-122.42494099999999,37.73614,-122.41894099999999,37.74014,3.75
-122.41894099999999,37.73614,-122.41294099999999,37.74014,4.2
-122.41294099999999,37.73614,-122.40694099999999,37.74014,0.0
-122.40694099999999,37.73614,-122.40094099999999,37.74014,3.0
-122.40094099999999,37.73614,-122.39494099999999,37.74014,0.0
-122.39494099999999,37.73614,-122.38894099999999,37.74014,3.22
-122.38894099999999,37.73614,-122.38294099999999,37.74014,0.0
-122.38294099999999,37.73614,-122.37694099999999,37.74014,3.0
-122.37694099999999,37.73614,-122.37094099999999,37.74014,0.0
-122.37094099999999,37.73614,-122.36494099999999,37.74014,0.0
-122.36494099999999,37.73614,-122.35894099999999,37.74014,0.0
-122.35894099999999,37.73614,-122.35294099999999,37.74014,0.0
-122.514941,37.74014,-122.508941,37.744139999999994,0.0
-122.508941,37.74014,-122.50294099999999,37.744139999999994,3.25
-122.50294099999999,37.74014,-122.49694099999999,37.744139999999994,3.33
-122.49694099999999,37.74014,-122.49094099999999,37.744139999999994,0.0
-122.49094099999999,37.74014,-122.48494099999999,37.744139999999994,3.75
-122.48494099999999,37.74014,-122.47894099999999,37.744139999999994,3.75
-122.47894099999999,37.74014,-122.47294099999999,37.744139999999994,3.55
-122.47294099999999,37.74014,-122.46694099999999,37.744139999999994,4.75
-122.46694099999999,37.74014,-122.46094099999999,37.744139999999994,3.8
-122.46094099999999,37.74014,-122.45494099999999,37.744139999999994,0.0
-122.45494099999999,37.74014,-122.44894099999999,37.744139999999994,3.25
-122.44894099999999,37.74014,-122.44294099999999,37.744139999999994,0.0
-122.44294099999999,37.74014,-122.43694099999999,37.744139999999994,3.5
-122.43694099999999,37.74014,-122.43094099999999,37.744139999999994,0.0
-122.43094099999999,37.74014,-122.42494099999999,37.744139999999994,3.95
-122.42494099999999,37.74014,-122.41894099999999,37.744139999999994,3.85
-122.41894099999999,37.74014,-122.41294099999999,37.744139999999994,0.0
-122.41294099999999,37.74014,-122.40694099999999,37.744139999999994,0.0
-122.40694099999999,37.74014,-122.40094099999999,37.744139999999994,3.28
-122.40094099999999,37.74014,-122.39494099999999,37.744139999999994,4.0
-122.39494099999999,37.74014,-122.38894099999999,37.744139999999994,0.0
-122.38894099999999,37.74014,-122.38294099999999,37.744139999999994,3.67
-122.38294099999999,37.74014,-122.37694099999999,37.744139999999994,0.0
-122.37694099999999,37.74014,-122.37094099999999,37.744139999999994,0.0
-122.37094099999999,37.74014,-122.36494099999999,37.744139999999994,0.0
-122.36494099999999,37.74014,-122.35894099999999,37.744139999999994,0.0
-122.35894099999999,37.74014,-122.35294099999999,37.744139999999994,0.0
-122.514941,37.74414,-122.508941,37.74814,0.0
-122.508941,37.74414,-122.50294099999999,37.74814,0.0
-122.50294099999999,37.74414,-122.49694099999999,37.74814,0.0
-122.49694099999999,37.74414,-122.49094099999999,37.74814,0.0
-122.49094099999999,37.74414,-122.48494099999999,37.74814,0.0
-122.48494099999999,37.74414,-122.47894099999999,37.74814,0.0
-122.47894099999999,37.74414,-122.47294099999999,37.74814,0.0
-122.47294099999999,37.74414,-122.46694099999999,37.74814,0.0
-122.46694099999999,37.74414,-122.46094099999999,37.74814,0.0
-122.46094099999999,37.74414,-122.45494099999999,37.74814,3.5
-122.45494099999999,37.74414,-122.44894099999999,37.74814,0.0
-122.44894099999999,37.74414,-122.44294099999999,37.74814,0.0
-122.44294099999999,37.74414,-122.43694099999999,37.74814,0.0
-122.43694099999999,37.74414,-122.43094099999999,37.74814,0.0
-122.43094099999999,37.74414,-122.42494099999999,37.74814,3.75
-122.42494099999999,37.74414,-122.41894099999999,37.74814,3.9
-122.41894099999999,37.74414,-122.41294099999999,37.74814,3.5
-122.41294099999999,37.74414,-122.40694099999999,37.74814,0.0
-122.40694099999999,37.74414,-122.40094099999999,37.74814,4.3
-122.40094099999999,37.74414,-122.39494099999999,37.74814,4.0
-122.39494099999999,37.74414,-122.38894099999999,37.74814,0.0
-122.38894099999999,37.74414,-122.38294099999999,37.74814,0.0
-122.38294099999999,37.74414,-122.37694099999999,37.74814,0.0
-122.37694099999999,37.74414,-122.37094099999999,37.74814,0.0
-122.37094099999999,37.74414,-122.36494099999999,37.74814,0.0
-122.36494099999999,37.74414,-122.35894099999999,37.74814,0.0
-122.35894099999999,37.74414,-122.35294099999999,37.74814,0.0
-122.514941,37.74814,-122.508941,37.75214,0.0
-122.508941,37.74814,-122.50294099999999,37.75214,0.0
-122.50294099999999,37.74814,-122.49694099999999,37.75214,0.0
-122.49694099999999,37.74814,-122.49094099999999,37.75214,0.0
-122.49094099999999,37.74814,-122.48494099999999,37.75214,0.0
-122.48494099999999,37.74814,-122.47894099999999,37.75214,0.0
-122.47894099999999,37.74814,-122.47294099999999,37.75214,0.0
-122.47294099999999,37.74814,-122.46694099999999,37.75214,0.0
-122.46694099999999,37.74814,-122.46094099999999,37.75214,0.0
-122.46094099999999,37.74814,-122.45494099999999,37.75214,0.0
-122.45494099999999,37.74814,-122.44894099999999,37.75214,0.0
-122.44894099999999,37.74814,-122.44294099999999,37.75214,0.0
-122.44294099999999,37.74814,-122.43694099999999,37.75214,4.0
-122.43694099999999,37.74814,-122.43094099999999,37.75214,4.05
-122.43094099999999,37.74814,-122.42494099999999,37.75214,3.85
-122.42494099999999,37.74814,-122.41894099999999,37.75214,3.88
